name
Aherin, Robert A
Murphy, Michael R
Newell-Fugate, Anne Elizabeth
Novakofski, Jan E
Nowak, Romana Angelika
Parr, Chelsie K
Parrett, Douglas F
Parsons, Carl M
Peterson, Beau A
Peterson, Benjamin Cole
Pettigrew, James Eugene
Ponnuraj, Nagendra Prabhu
Radlowski, Emily C
Robinson, James L
Roca, Alfred L
Rodriguez-Zas, Sandra Luisa
Rund, Lauretta A
Schook, Lawrence B
Shanks, Roger D
Shike, Daniel William
Sobie, Jennifer Lee
Southey, Bruce Robert
Spike, Thomas Edward
Stein, Hans-Henrik
Swanson, Kelly S
Topping, David L
Wallace, Richard L
Webel, Douglas Maurice
Wheeler, Matthew B
White, Bryan A
Wise, Phyllis M
Wolter, Bradley F
Ainsworth, Elizabeth
Babadoost, Mohammad
Below, Frederick E
Berhow, Mark A
Bohn, Martin O
Bollero, German A
Bradley, Carl Alan
Branham, Bruce E
Briskin, Donald P
Brown, Howard Martin
Brown, Patrick J
Bullock, Donald G
Caetano-Anolles, Gustavo
Chee-Sanford, Joanne Chin
Clough, Steven J
D'Arcy, Cleora
Davis, Adam
Diers, Brian W
Domier, Leslie L
Dudley, John W
Eastburn, Darin M
Fermanian, Thomas W
Gentry, Laura Flint
Gray, Michael E
Hager, Aaron G
Hanzawa, Yoshie
Harper, James E
Hartman, Glen L
Heichel, Gary H
Hesketh, John D
Hoeft, Robert G
Huber, Steven C
Hudson, Matthew
Hymowitz, Theodore
Juvik, John A
Kauffman, Harold E
Kling, Gary J
Kolb, Frederic L
Kushad, Mosbah M
Lambert, Kris Nicholas
Lee, DoKyoung
Long, Stephen P
Lovell, Sarah Taylor
Masiunas, John B
Mikel, Mark A
Moose, Stephen Patrick
Mumm, Rita Hogan
Nafziger, Emerson D
Nelson, Randall L
Noel, Gregory R
Noland, Dianne A
Norton, Margaret A
Olson, Kenneth R
Ort, Donald Richard
Pataky, Jerald K
Pedersen, Wayne L
Plewa, Michael Jacob
Portis, Archie R
Rayburn, A Lane
Riechers, Dean Edward
Sachs, Martin M
Sacks, Erik J
Simmons, F William
Skirvin, Robert M
Spencer, Joseph Lee
Steffey, Kevin L
Stewart, J Ryan
Stoller, Edward W
Taylor, Andrea F
Tranel, Patrick J
Troyer, A Forrest
Villamil, Maria Bonita
Vodkin, Lila O
Voigt, Thomas B
Walker, David R
Wax, Loyd M
Weinzierl, Richard A
White, Donald G
Widholm, Jack M
Wilkinson, Henry T
Williams, David J
Williams, Martin M
Wortman, Samuel Edward
Zhao, Youfu
Andrade, Juan
Cadwallader, Keith R
Chapman-Novakofski, Karen Marie
Chen, Hong
Demejia, Elvira
Donovan, Sharon M
Engeseth, Nicki Jene
Feng, Hao
Garrow, Linda S
Garrow, Timothy A
Helferich, William G
Jin, Yong-Su
Kokini, Jozef L
Lee, Soo-Yeun
Lee, Youngsoo
Miller, Michael J
Morris, Scott A
Nakamura, Manabu T
Padua, Graciela Wild
Pan, Yuan-Xiang
Schmidt, Shelly J
Takhar, Pawan Singh
Tappenden, Kelly Anne
Teran-Garcia, Margarita De L
Bost, Kelly Korinne
Ebata, Aaron T
Ferguson, Gail Marcia
Fiese, Barbara
Gasteyer, Stephen
Hardesty, Jennifer Leeann
Harper, Joe Grant
Hughes, Robert
Jarrett, Robin L
Knobloch, Neil A
Koerner, Susan Silverberg
Kramer, Karen
Kramer, Laurie F
Kwon, Soo Ah
Larson, Reed W
Lleras, Christy L
McBride, Brent A
McElwain, Nancy L
Ogolsky, Brian Gabriel
Oswald, Ramona Faith
Reis, Janet Mildred
Reisner, Ann E
Rosch, David Michael
Shapiro, Constance Hoenk
Thieman, Erica B
Wiley, Angela R
Benson, Thomas J
Berenbaum, May R
Brawn, Jeffrey D
Brazee, Richard J
Cao, Yong
Chee-Sanford, Joanne Chin
Chick, John Howard
Chow, Poo
Cole, Michael A
Coles, Michael G H
Cutts, Bethany Brooke
Czapar, George Frank
Czesny, Sergiusz Jakob
Darmody, Robert G
Darter, Michael I
David, Mark B
Deal, Brian M
Delucia, Evan H
Douglas, Marlise
Douglas, Michael E
El-Naggar, Essam Mohamed
Endres, Jody Michelle
Endress, Anton G
Epifanio, John M
Fagan, Peter
Fraterrigo, Jennifer M
Freyfogle, Eric T
Gertner, George Z
Giles, Floyd A
Grimley, David Aaron
Hagy, Heath Michael
Hanks, Lawrence M
Hartman, Glen L
Hassett, John J
Heske, Edward J
Hodson, Piper
Hoover, Jeffrey P
Hudson, Robert J M
Hutchins Sperry, Jinelle
Irwin, Michael E
Jarrell, Wesley M
Jones, Robert L
Kent, Angela D
Khan, Saeed Ahmad
Khanna, Madhu
Korban, Schuyler S
Kuhnen, Fernando
Kuo, Frances E
Larson, Richard A
Lavey, Warren
Levengood, Jeffrey M
Lila, Mary Ann
Lin, Yu-Feng
Markus, Momcilo
Mateus-Pinilla, Nohra E
Matthews, Jeffrey Wayne
McIsaac, Gregory F
Miller, Craig A
Miller, James Robert
Molano-Flores, Brenda
Mulvaney, Richard L
Olson, Kenneth R
Paige, Ken N
Pentrak, Martin
Pentrakova, Linda
Philipp, David P
Phillips, Christopher A
Radwan, Osman
Raheel, Mastura
Rebeiz, Constantin A
Reisner, Ann E
Ribot, Jesse C
Riecks-Soucek, David John
Robinson, Gene E
Rolfe, Gary L
Sass, Gregory G
Schelsky, Wendy
Schooley, Robert Lee
Simmons, F William
Solter, Leellen F
Spomer, Louis A
Stafford, Joshua D
Stodola, Kirk
Stucki, Joseph William
Sullivan, William C
Suski, Cory David
Swiader, John M
Taft, John B
Taylor, Christopher A
Thomason, Jason F
Treat, James
Ugarte, Carmen Marlene
Vining, Joanne
Wahl, David H
Wander, Michelle M
Ward, Michael Patrick
Warner, Richard Eugene
Watson, Gary
Weatherhead, Patrick J
Weinzierl, Richard A
Yannarell, Anthony
Zheng, Wei
Alston, Reginald J
Andrade, Flavia Cristina Drumon
Barnes, Lynette C
Bigler, Pamela Kay
Boppart, Marni
Broglio, Steven
Buchner, David M
Carlson, Kristin Nicole
Carlton, Les G
Castelli, Darla M
Chodzko-Zajko, Wojciech
Crull, Gary S
Destefano, Lizanne
Evans, Ellen M
Fagen, Robert Morton
Farner, Susan M
Graber, Kim C
Grigsby, Diana S
Hann, Lena
Harvey, Idethia Shevon
Hillman, Charles H
Huey, Kimberly A
Jan, Yih-Kuen
Khan, Naiman A
Kim, Juhee
Larson, Reed W
Learmonth, Yvonne
Liao, Fuyuan
Littlefield, Melissa Monique
Martens, Rainer
McAuley, Edward
McCloskey, Laura Ann
McGrew, Robert Wayne
Motl, Robert W
Mullen, Sean P
Notaro, Stephen John
Pence, Brandt David
Petruzzello, Steven J
Polk, John David
Remmert, David M
Rice, Ian Matthew
Rosenblatt, Karin Ann
Rounds, James
Schwingel, Andiara
Snyder, John M
Sosnoff, Jacob J
Strauser, David Ross
Sydnor, Synthia
Wilund, Kenneth
Woods, Amelia Mays
Woods, Jeffrey A
Yang, Yang
Zhu, Weimo
Almeida, Heitor
Beard, Dennis E
Bera, Anil K
Bernhardt, Mark Daniel
Brown, Jeffrey R
Burkholder, Donald L
Cannaday, Roger E
Capel, William W
Chan, Kuo Chi
Chattopadhyay, Shinjinee
Choi, Jaewon
Colwell, Peter F
D'Arcy, Stephen Paul
Davis, Donald Warren
Davis, Jeffrey M
Deryugina, Tatyana
Dyer, Michael A
Finnerty, Joseph E
Fos, Vyacheslav
France, Virginia Grace
Fullerton, Don
Gentry, James A
Goodfriend, Jaimi Elizabeth
Johnson, Timothy C
Kahn, Charles M
Kannan, Srinivasan
Kronlund, Mathias
Krueger, George John
Lakonishok, Josef
Lane, Morton N
Linke, Charles M
Luo, Yu
Lynge, Morgan J
Manouchehri Irani, Rustom Dinyar
Marcinkowski, Matthew Maciej
Martin, Ernest J
Miller, Nolan H
Moyer, Christopher
Oltheten, Elisabeth
Pearson, Neil D
Pennacchi, George G
Perkins, Scott Edward
Peters, Stephen Richard
Petry, Joseph A
Pollet, Joshua M
Reif, Julian Christopher
Sholem, Daniel
Villamil, Anne
Vonnahme, Mark C
Waspi, Kevin G
Weisbenner, Scott J
Whitford, David Thomas
Widdicks, Martin
Ye, Mao
Yin, Yihua
Almeida, Heitor
Beard, Dennis E
Bera, Anil K
Bernhardt, Mark Daniel
Brown, Jeffrey R
Burkholder, Donald L
Cannaday, Roger E
Capel, William W
Chan, Kuo Chi
Chattopadhyay, Shinjinee
Choi, Jaewon
Colwell, Peter F
D'Arcy, Stephen Paul
Davis, Donald Warren
Davis, Jeffrey M
Deryugina, Tatyana
Dyer, Michael A
Finnerty, Joseph E
Fos, Vyacheslav
France, Virginia Grace
Fullerton, Don
Gentry, James A
Goodfriend, Jaimi Elizabeth
Johnson, Timothy C
Kahn, Charles M
Kannan, Srinivasan
Kronlund, Mathias
Krueger, George John
Lakonishok, Josef
Lane, Morton N
Linke, Charles M
Luo, Yu
Lynge, Morgan J
Manouchehri Irani, Rustom Dinyar
Marcinkowski, Matthew Maciej
Martin, Ernest J
Miller, Nolan H
Moyer, Christopher
Oltheten, Elisabeth
Pearson, Neil D
Pennacchi, George G
Perkins, Scott Edward
Peters, Stephen Richard
Petry, Joseph A
Pollet, Joshua M
Reif, Julian Christopher
Sholem, Daniel
Villamil, Anne
Vonnahme, Mark C
Waspi, Kevin G
Weisbenner, Scott J
Whitford, David Thomas
Widdicks, Martin
Ye, Mao
Yin, Yihua
Almeida, Heitor
Beard, Dennis E
Bera, Anil K
Bernhardt, Mark Daniel
Brown, Jeffrey R
Burkholder, Donald L
Cannaday, Roger E
Capel, William W
Chan, Kuo Chi
Chattopadhyay, Shinjinee
Choi, Jaewon
Colwell, Peter F
D'Arcy, Stephen Paul
Davis, Donald Warren
Davis, Jeffrey M
Deryugina, Tatyana
Dyer, Michael A
Finnerty, Joseph E
Fos, Vyacheslav
France, Virginia Grace
Fullerton, Don
Gentry, James A
Goodfriend, Jaimi Elizabeth
Johnson, Timothy C
Kahn, Charles M
Kannan, Srinivasan
Kronlund, Mathias
Krueger, George John
Lakonishok, Josef
Lane, Morton N
Linke, Charles M
Luo, Yu
Lynge, Morgan J
Manouchehri Irani, Rustom Dinyar
Marcinkowski, Matthew Maciej
Martin, Ernest J
Miller, Nolan H
Moyer, Christopher
Oltheten, Elisabeth
Pearson, Neil D
Pennacchi, George G
Perkins, Scott Edward
Peters, Stephen Richard
Petry, Joseph A
Pollet, Joshua M
Reif, Julian Christopher
Sholem, Daniel
Villamil, Anne
Vonnahme, Mark C
Waspi, Kevin G
Weisbenner, Scott J
Whitford, David Thomas
Widdicks, Martin
Ye, Mao
Yin, Yihua
Austin, Joanna Maria
Bentsman, Joseph
Bergman, Lawrence A
Berke, Ryan B
Bodony, Daniel J
Bragg, Michael B
Bretl, Timothy Wolfe
Buckmaster, John D
Burton, Rodney L
Carroll, David Leon
Chasiotis, Ioannis
Chew, Huck Beng
Chilan, Christian Miguel
Christensen, Kenneth T
Chung, Soon-Jo
Conway, Bruce A
Coverstone, Victoria Lynn
D'Urso, Steven Joseph
Dutton, J Craig
Elliott, Gregory S
Freund, Jonathan
Gao, Xingxin
Geubelle, Philippe H
Heng, Liang
Hovakimyan, Naira
Jackson, Thomas L
Lambros, John
Langbort, Cedric
Lee, Ki D
Loth, Eric
Masud, Arif
McFarland, Donald Michael
Miley, George H
Namachchivaya, N Sri
Panesi, Marco
Prussing, John E
Salapaka, Srinivasa M
Selig, Michael S
Solomon, Wayne C
Sottos, Nancy R
Vakakis, Alexander F
Voulgaris, Petros G
White, Scott R
Woodard, Brian S
Aluru, Narayana R
Amos, Jennifer
Anastasio, Thomas J
Bashir, Rashid
Bhargava, Rohit
Boppart, Stephen Allen
Bresler, Yoram
Celik, Venhar
Cheng, Jianjun
Cunningham, Brian T
Das, Aditi
Do, Minh N
Dobrucki, Wawrzyniec
Georgiadis, John G
Gillette, Martha L
Harley, Brendan A
Hsia, K Jimmy
Hsiao-Wecksler, Elizabeth T
Imoukhuede, Princess U II
Insana, Michael
Jasiuk, Iwona M
Jin, Yong-Su
Jongeneel, Cornelis Victor
Kenis, Paul J A
Kim, Kyekyoon
Kim, Younghoon
Kong, Hyun Joon
Kong, Wentao
Leckband, Deborah E
Leslie, Lisa Suzanne
Liang, Zhi-Pei
Lim, Sung Jun
Liu, Gang Logan
Lu, Ting
Lu, Yi
Ma, Jian
Myong, Su-A
Nelson, Mark E
Odintsov, Boris M
Oelze, Michael L
Popescu, Gabriel
Rogers, John A
Schook, Lawrence B
Schulten, Klaus J
Smith, Andrew M
Sutton, Brad
Sweedler, Jonathan V
Tang, Qiang
Tippana, Ramreddy
Toussaint, Kimani C
Underhill, Gregory H
Wagoner Johnson, Amy Jaye
Wang, Fei
Wang, Michelle Yongmei
Wang, Ning
Wheeler, Bruce C
Wheeler, Matthew B
Zhang, Yuanhui
Zhao, Huimin
Zhong, Sheng
Abrams, Daniel P
Al-Qadi, Imad L
Andrawes, Bassem O
Baker, William
Barkan, Christopher Paul Lyman
Benekohal, Rahim F
Bergman, Lawrence A
Bond, Tami C
Bruzzi Barros, Felicio
Buttlar, William G
Cai, Ximing
Carpenter, Samuel H
Carrilho Leao Ramos, Viviane
Chen, Pei-Ching
Chen, Yanju
Chou, Hsien-Ter
Clark, Mark M
Cording, Edward J
Cui, Na
Das, Animesh
Dempsey, Barry J
Ding, Wei
Dodds, Robert Harvey
Duarte, Carlos Armando
Edwards, John Riley
Eheart, J Wayland
El-Gohary, Nora
El-Rayes, Khaled A
Elnashai, Amr S
Emamipour, Hamidreza
Eom, Taesung
Fahnestock, Larry Alan
Fan, Cunxin
Foutch, Douglas A
Garcia, Marcelo Horacio
Gardoni, Paolo
Ghaboussi, Jamshid
Golparvar Fard, Mani
Guest, Jeremy S
Gurfinkel, German
Haber, Robert B
Hashash, Youssef M A
Hawkins, Neil M
Herricks, Edwin E
Kao, Tsung-Chung
Khachaturian, Jon
Kim, Dongwook
Kim, In Tai
Koloutsou-Vakakis, Sotiria
Konar, Megan
Kuchma, Daniel Alexander
Kumar, Praveen
Lafave, James Michael
Lai, Tao
Landry, Blake J
Lange, David A
Larson, Susan M
Lawrence, Frederick V
Lei, Susu
Lima de Aguiar, Ludimar
Lin, Yu-Feng
Liu, Liang Y
Liu, Wen-Tso
Liu, Yuanyuan
Liu, Yufei
Long, James H
Lopez-Pamies, Oscar
Ma, Jing
Marinas, Benito Jose
Masud, Arif
Meawad, Amr
Mesri, Gholamreza
Min, Jiyoung
Minear, Roger A
Minsker, Barbara S
Mondal, Paramita
Moon, Do Soo
Narihiro, Takashi
Nguyen, Thanh Huong
Olson, Scott Michael
Ouyang, Yanfeng
Ozer, Hasan
Parker, Gary
Paulino, Glaucio Hermogenes
Pecknold, David
Pelosi, Anna
Peschel, Joshua Michael
Popovics, John S
Quan, Lei
Reis, Henrique M
Rhoads, Bruce L
Roesler, Jeffery Raphael
Rood, Mark J
Ruiz Sandoval Hernandez, Manuel Ruiz
Rutherford, Cassandra J
Saat, Mohd Rapik
Schaeffer, David J
Schmidt, Arthur R
Sivapalan, Murugesu
Snoeyink, Vernon L
Spencer, B F
Stark, Timothy D
Strathmann, Timothy J
Struble, Leslie J
Thompson, Marshall R
Thurston, Deborah L
Tsai, Ching-Sung
Tutumluer, Erol
Valocchi, Albert J
Walker, William H
Wang, Long
Wen, Yi-Kwei
Werth, Charles James
Work, Daniel
Wuebbles, Donald J
Yang, Cheng
Yang, Haixu
Yang, In Hwan
Yao, Xiaowen
Young, Brent Daniel
Zhao, Chunfa
Zhao, Qiang
Zhao, Sujing
Zilles, Julie
Abdelzaher, Tarek
Adve, Sarita V
Adve, Vikram Sadanand
Agha, Gul A
Amir, Eyal
Angrave, Lawrence Christopher
Bailey, Brian P
Baker, Gordon J
Bambenek, John Christian
Barr, Lloyd
Belford, Geneva G
Borisov, Nikita
Bretl, Timothy Wolfe
Caccamo, Marco
Caesar, Matthew Chapman
Caicedo Rueda, Juan
Campbell, R H
Cappello, Franck
Chang, Kevin Chen-Chuan
Chekuri, Chandra Sekhar
Chen, Deming
Chew, Weng Cho
Cole, Jennifer S
DeJong, Gerald F
Dig, Daniel
Efron, Miles James
Erickson, Jeff G
Escobar, Santiago
Fazenda, Alvaro
Fleck, Margaret M
Forsyth, David Alexander
Friedman, H George
Fu, Wai-Tat
Gambill, Thomas Naylor
Garzaran, Maria Jesus
Gasser, Leslie G
Gear, Charles
Girju, Corina R
Godfrey, Philip B
Gropp, William D
Gunter, Carl
Gunter, Elsa
Gupta, Indranil
Han, Jiawei
Har-Peled, Sariel
Harandi, Mehdi T
Hart, John C
Hasegawa-Johnson, Mark Allan
Heath, Michael T
Heeren, Cinda
Hirani, Anil Nirmal
Hockenmaier, Julia Constanze
Hoiem, Derek W
Hu, Yih-Chun
Huang, Thomas S
Hutchinson, Seth Andrew
Hwu, Wen-Mei W
Iyer, Ravishankar K
Jacobson, Sheldon Howard
Johnson, Ralph E
Kale, Laxmikant V
Kamin, Samuel N
Karahalios, Kyratso George
Kim, Seong Whan
Kirlik, Alex
Kiyavash, Negar
Kolla, Alexandra
Kravets, Robin Hillary
Kubitz, William J
Lavalle, Steven M
Lawrie, Duncan H
Lazebnik, Svetlana
Li, Jun
Lu, Wei
Lumetta, Steven Sam
Ma, Jian
Marinov, Darko
McHenry, Kenton Guadron
Mechitov, Kirill Alexandrovich
Meseguer, Jose
Mickunas, M Dennis
Nahrstedt, Klara
Nicol, David Malcolm
Olson, Luke
Padua, David A
Parthasarathy, Madhusudan
Peng, Tao
Pitt, Leonard B
Polychronopoulos, Constantine
Prabhakaran, Manoj M
Rao, Huaming
Reingold, Edward M
Rodgers, Frederick A
Rosu, Grigore
Roth, Dan
Rutenbar, Robin A
Sack, Paul D
Sahoo, Swarup Kumar
Sanders, William H
Saylor, Paul E
Schatz, Bruce R
Schran, Peter
Sha, Lui Raymond
Shaffer, Eric Gene
Shen, Wei
Sinha, Saurabh
Skeel, Robert D
Smaragdis, Paris
Taylor, Gale D
Thakkar, Umesh
Torrellas, Josep
Twidale, Michael Bernard
Tzannes, Alexandre
Vaidya, Nitin H
Vasudevan, Shobha
Violas, Paul C
Viswanathan, Mahesh
Wang, Dong
Wang, Lili
Winslett, Marianne S
Wong, Martin D F
Woodley, Michael Joseph
Wu, Peng
Yoo, Wucherl
Yu, Yizhou
Zhai, Chengxiang
Zilles, Craig
Abbas, Ali E
Allison, James
Beck, Carolyn L
Chen, Xin
Feng, Liming
Kim, Harrison Hyung Min
Kiyavash, Negar
Krishnan, Girish
Marla, Lavanya
Nagi, Rakesh
Nedich, Angelia
Oh, Sewoong
Olshevsky, Alexander
Price, Raymond Lewis
Reis, Henrique M
Sowers, Richard B
Sreenivas, Ramavarapu S
Stipanovic, Dusan M
Thurston, Deborah L
Wang, Qiong
Alleyne, Andrew G
Aluru, Narayana R
Bahl, Gaurav
Beaudoin, Armand Joseph
Bentsman, Joseph
Brewster, M Quinn
Christensen, Kenneth T
Dankowicz, Harry
Downing, Stephen Douglas
Dullerud, Geir E
Ertekin, Elif
Ewoldt, Randy H
Ferreira, Placid Mathew
Flachsbart, Bruce R
Freund, Jonathan
Georgiadis, John G
Glumac, Nick G
Haber, Robert B
Hilgenfeldt, Sascha
Horn, Gavin P
Hovakimyan, Naira
Hrnjak, Predrag Stojan
Hsia, K Jimmy
Hsiao-Wecksler, Elizabeth T
Jacobi, Anthony M
Jasiuk, Iwona M
Johnson, Harley T
Keane, Richard Damien
Kim, Seok
King, William Paul
Kyritsis, Dimitrios C
Lee, Chia-Fon
Matalon, Moshe
Mehta, Prashant Girdharilal
Pantano-Rubino, Carlos A
Patel, Sanjay Jeram
Pearlstein, Arne J
Saif, M Taher A
Salapaka, Srinivasa M
Sehitoglu, Huseyin
Sinha, Sanjiv
Sofronis, Petros
Sohn, Mariana Silva
Starzewski, Martin Ostoja
Stewart, Donald Scott
Thomas, Brian G
Tortorelli, Daniel A
Toussaint, Kimani C
Tucker, Charles L
Vakakis, Alexander F
Wagoner Johnson, Amy Jaye
Wang, Ning
West, Matthew
Aref, Michael
Averback, Robert S
Axford, Roy A
Boppart, Stephen Allen
Curreli, Davide
Dolan, Thomas J
Eden, James Gary
Garada, Masab H
Heuser, Brent J
Hutchings, Bruce L
Jones, Barclay G
Jurczyk, Brian Edward
Kaminski, Michael David
Kim, Kyekyoon
Kim, Kyu Jung
Kozlowski, Tomasz
Larson, Susan M
Marsh, Charles P
Meng, Ling Jian
Miley, George H
Miller, David W
Mohaghegh Ahmadabadi, Zahra
Nelson, Richard F
Neumann, Martin John
Ragheb, Magdi
Ruzic, David N
Singer, Clifford E
Stubbers, Robert
Stubbins, James F
Sullivan, Clair Julia
Thomas, Brian G
Trinkle, Dallas
Uddin, Rizwan
Zhang, Yang
Abbamonte, Peter Michael
Aksimentiev, Oleksii
Beck, Douglas H
Bezryadin, Alexey
Budakian, Raffi
Ceperley, David M
Chemla, Yann Robert
Cooper, S Lance
Dahmen, Karin A
DeMarco, Brian Leeds
Eckstein, James N
El-Khadra, Aida X
Errede, Steven M
Fradkin, Eduardo H
Gammie, Charles Forbes
Giannetta, Russell W
Gladding, Gary E
Goldenfeld, Nigel D
Gollin, George D
Greene, Laura H
Grosse Perdekamp, Matthias
Ha, Taekjip
Hubler, Alfred Wilhelm
Hughes, Taylor L
Kuhlman, Thomas E
Kwiat, Paul G
Leggett, Anthony J
Leigh, Robert G
MacDougall, Gregory
Makins, Naomi C R
Mason, Nadya
Mestre, Jose
Mouschovias, Telemachos Ch
Nayfeh, Munir H
Neubauer, Mark
Oono, Yoshitsugu
Peng, Jen-Chieh
Phillips, Philip W
Pitts, Kevin T
Ryu, Shinsei
Schulten, Klaus J
Selen, Mats A
Selvin, Paul R
Shapiro, Stuart Louis
Stelzer, Timothy J
Stone, Michael
Thaler, Jon J
Van Harlingen, Dale J
Vishveshwara, Smitha
Weaver, Richard L
Weissman, Michael B
Willenbrock, Scott S
Wiss, James E
Wolfe, James P
Yang, Liang
Yodh, Jaya G
Abd El Khalick, Fouad
Armbruster, Bonnie Betts
Arpin, Christine M
Baroody, Arthur J
Bauer, Eurydice
Beardall, Joshua M
Boettcher, Erika L
Bragiel, Mary C
Brandenburg, Deborah Lee
Bresler, Liora
Brodnan, Gary Lee
Brodnan, Kathleen
Brown, David E
Brunsting, John Robert
Clift, Renee T
Davidson, Frederick G
Dean, Sheila Rae
Denning, Marilyn L
Dressman, Mark Allen
Elrick, Douglas Gordon
Garcia, Georgia E
Gartside, Jennifer
George-Jackson, Casey Elizabeth
Giesler, Brenda Joelle
Go, Young-Mi
Goldsmith-Conley, Elizabeth Harriet
Gonzalez Rivera, Gloriana
Gschwend, Karen L
Gutierrez, Rochelle
Hanke, Richard E
Hari, Jan
Harris, Violet J
Hehn, Jack William
Henderson, Gerald Lon
Hixson, Jennifer Quednau
Hood, Stafford
Hug, Barbara
Jurgens, Patricia M
Kalantzis, Mary
Katz, Lilian G
Lazzaretto, Amy
Lewis, Alisha Lauren
Lindquist, Mary Florence
Long, Yvette Nelva
Lubienski, Sarah Theule
MacGregor, Nancy A
McCarthey, Sarah Jane
McCarthy, Cameron R
McMurry, Sunny Olivia
McQuillan, Cathleen Sauer
Merritt, Christine S
Moller, Karla Jean
Morrisette, Sharon
Osborne, Margery
Parsons, Marilyn Anita
Poetzel, Adam Roman
Polzin, James R
Reese, George Clifford
Rogers, Jill A
Seaman, Elaine R
Tettegah, Sharon Y
